pitch,off_nom_roll
46.91,0.000
47.00,0.249
47.10,0.507
47.20,0.742
47.30,0.960
47.40,1.164
47.50,1.356
47.60,1.538
47.80,1.876
48.00,2.185
48.20,2.472
48.40,2.740
48.60,2.991
48.80,3.229
49.00,3.454
49.50,3.972
50.00,4.437
50.50,4.860
51.00,5.247
51.50,5.606
52.00,5.939
52.50,6.249
53.00,6.540
53.50,6.814
54.00,7.072
54.50,7.316
55.00,7.547
55.50,7.766
56.00,7.975
56.50,8.173
57.00,8.362
57.50,8.543
58.00,8.715
58.50,8.880
59.00,9.038
59.50,9.189
60.00,9.334
61.00,9.607
62.00,9.858
63.00,10.090
64.00,10.305
65.00,10.505
66.00,10.689
67.00,10.861
68.00,11.020
69.00,11.168
70.00,11.305
71.00,11.432
72.00,11.550
73.00,11.659
74.00,11.760
75.00,11.853
76.00,11.939
77.00,12.017
78.00,12.089
79.00,12.155
80.00,12.214
81.00,12.267
82.00,12.314
83.00,12.356
84.00,12.392
85.00,12.422
85.50,12.436
85.50000000000001,17.500
124.90,17.500
124.90000000000002,12.224
126.00,12.394
127.00,12.558
128.00,12.730
129.00,12.911
130.00,13.102
131.00,13.302
132.00,13.513
133.00,13.735
134.00,13.969
135.00,14.215
136.00,14.476
137.00,14.750
138.00,15.041
139.00,15.348
140.00,15.673
141.00,16.017
142.00,16.382
143.00,16.770
144.00,17.183
145.00,17.622
146.00,18.091
147.00,18.592
147.30,18.750
178.00,18.750
178.00000000000003,0.000
